Case,time_min,release_frac
Zero,0.0,0.0
Zero,15.0,0.31378436976961954
Zero,30.0,0.6270856791381132
Zero,45.0,1.0
Zero,60.0,1.0
Zero,75.0,0.9414689443403849
Zero,90.0,0.9609346147941304
Zero,105.0,1.0
Zero,120.0,0.9905127222296926
Zero,135.0,0.9994959652748714
Zero,150.0,0.9744086821727926
Zero,165.0,1.0
Zero,180.0,1.0
Zero,195.0,1.0
Zero,210.0,1.0
Zero,225.0,1.0
Zero,240.0,0.9742212261135028
First,0.0,0.0
First,15.0,0.274444113428603
First,30.0,0.4565228405857169
First,45.0,0.6690908274807428
First,60.0,0.7512207815770753
First,75.0,0.8235635245127224
First,90.0,0.8615907394205643
First,105.0,0.9552790090703535
First,120.0,0.9392352598110902
First,135.0,0.948460533568791
First,150.0,0.962775381360675
First,165.0,0.9976022866318944
First,180.0,0.9983125567144621
First,195.0,1.0
First,210.0,1.0
First,225.0,1.0
First,240.0,0.9849645058122092
Sigmoid,0.0,0.0
Sigmoid,15.0,0.030587938112140747
Sigmoid,30.0,0.12556687177183048
Sigmoid,45.0,0.29427573315914707
Sigmoid,60.0,0.43602688513880256
Sigmoid,75.0,0.5144974214735255
Sigmoid,90.0,0.5930401114279166
Sigmoid,105.0,0.6772910617498281
Sigmoid,120.0,0.7896568318815415
Sigmoid,135.0,0.8467041885298613
Sigmoid,150.0,0.8832581674651089
Sigmoid,165.0,0.8799492851793012
Sigmoid,180.0,0.9321268485992705
Sigmoid,195.0,0.9478384853552929
Sigmoid,210.0,0.9653548769463641
Sigmoid,225.0,0.9957657220496581
Sigmoid,240.0,0.9843969145314946
