hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse
9,2,relu,0.0,True,0.01,0.0795773353016287,0.023333178761932447
9,2,relu,0.0,True,0.02,0.08221312769824451,0.03095554290887453
9,2,relu,0.0,True,0.03,0.07828709653552854,0.03038574898077741
9,2,relu,0.1,True,0.01,0.07582489737959801,0.0188695322714307
9,2,relu,0.1,True,0.02,0.07882162448525727,0.023045917110479246
9,2,relu,0.1,True,0.03,0.06950759292588808,0.02474373155015293
9,2,tanh,0.0,True,0.01,0.08779100255394029,0.026890887529562663
9,2,tanh,0.0,True,0.02,0.08513880672409607,0.027302585356639538
9,2,tanh,0.0,True,0.03,0.08268867046329251,0.03284856672305555
9,2,tanh,0.1,True,0.01,0.09056323693400957,0.026869693304005158
9,2,tanh,0.1,True,0.02,0.08505166204162995,0.024128799007510904
9,2,tanh,0.1,True,0.03,0.09038215237205804,0.02347764143915404
9,2,swish,0.0,True,0.01,0.07085423390005807,0.02498313113538984
9,2,swish,0.0,True,0.02,0.06534632819236641,0.027858019057119682
9,2,swish,0.0,True,0.03,0.06280875565877088,0.019408919354458844
9,2,swish,0.1,True,0.01,0.07862853036592019,0.021347238590509462
9,2,swish,0.1,True,0.02,0.06804709037417997,0.016833199835725995
9,2,swish,0.1,True,0.03,0.06451053415436085,0.021034862466835468
9,2,leakyrelu,0.0,True,0.01,0.08798792040252586,0.027922819089264674
9,2,leakyrelu,0.0,True,0.02,0.08292359892632853,0.02631237283902212
9,2,leakyrelu,0.0,True,0.03,0.07298914030291206,0.027006695817966005
9,2,leakyrelu,0.1,True,0.01,0.08015167235971353,0.029100640500932067
9,2,leakyrelu,0.1,True,0.02,0.07924598139934766,0.02394047051334868
9,2,leakyrelu,0.1,True,0.03,0.0696098149402042,0.021307049092902024
9,2,gelu,0.0,True,0.01,0.07488972353199005,0.02623033948124737
9,2,gelu,0.0,True,0.02,0.07523673371943616,0.02564567920995684
9,2,gelu,0.0,True,0.03,0.05759730479590421,0.02435833578451396
9,2,gelu,0.1,True,0.01,0.07623737283864263,0.01949057985266569
9,2,gelu,0.1,True,0.02,0.08035795259781417,0.0317589102161714
9,2,gelu,0.1,True,0.03,0.0699683076665493,0.025307276579758186
9,3,relu,0.0,True,0.01,0.07999530716303242,0.030307149505902468
9,3,relu,0.0,True,0.02,0.08190908737015193,0.02471858048239068
9,3,relu,0.0,True,0.03,0.08226737525037851,0.025793055571088137
9,3,relu,0.1,True,0.01,0.0917837011342554,0.025368710027383844
9,3,relu,0.1,True,0.02,0.07922646363639238,0.0265558036943356
9,3,relu,0.1,True,0.03,0.07857744479706996,0.02701041124756026
9,3,tanh,0.0,True,0.01,0.08846570868964411,0.034695353450746765
9,3,tanh,0.0,True,0.02,0.08435016757014899,0.030438959045528333
9,3,tanh,0.0,True,0.03,0.069606614921929,0.02206373809108327
9,3,tanh,0.1,True,0.01,0.07882583653585422,0.01813047162758804
