hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse
8,2,relu,0.0,True,0.01,0.09759444125883876,0.02826608854434267
8,2,relu,0.0,True,0.02,0.08534738288532305,0.032646629533193416
8,2,relu,0.1,True,0.01,0.10071315313189302,0.03085542843645781
8,2,relu,0.1,True,0.02,0.08749328528549001,0.018230617406829856
8,2,tanh,0.0,True,0.01,0.08953440138314966,0.02415338472575168
8,2,tanh,0.0,True,0.02,0.0844654173570351,0.028916340115666468
8,2,tanh,0.1,True,0.01,0.10732536522001124,0.02099359290178027
8,2,tanh,0.1,True,0.02,0.09769222465720467,0.02993977501272988
8,2,swish,0.0,True,0.01,0.09622607071816254,0.028899806017979767
8,2,swish,0.0,True,0.02,0.07125634417093503,0.024931209111999742
8,2,swish,0.1,True,0.01,0.08744996501707912,0.0216598369598264
8,2,swish,0.1,True,0.02,0.08606570839461272,0.030074373820863327
8,2,leakyrelu,0.0,True,0.01,0.08809473961239024,0.0187115881724273
8,2,leakyrelu,0.0,True,0.02,0.09080266348255264,0.03259890868566779
8,2,leakyrelu,0.1,True,0.01,0.09467553087387567,0.025623138778614104
8,2,leakyrelu,0.1,True,0.02,0.09189146355849367,0.01869319619902404
8,2,gelu,0.0,True,0.01,0.09340766910134106,0.02284310019905532
8,2,gelu,0.0,True,0.02,0.08767505278046278,0.031569990274663354
8,2,gelu,0.1,True,0.01,0.08904146240574318,0.017832178350540743
8,2,gelu,0.1,True,0.02,0.09085070149396716,0.0246562580058687
8,3,relu,0.0,True,0.01,0.09852921714377524,0.030379129004321864
8,3,relu,0.0,True,0.02,0.0832088551273487,0.02346752993904021
8,3,relu,0.1,True,0.01,0.09891008745326252,0.023360939528304682
8,3,relu,0.1,True,0.02,0.09218419099997448,0.020184324669554325
8,3,tanh,0.0,True,0.01,0.08869569017350203,0.025593801831592017
8,3,tanh,0.0,True,0.02,0.08080786960694795,0.028583177942086174
8,3,tanh,0.1,True,0.01,0.10319706760986057,0.021086977547636387
8,3,tanh,0.1,True,0.02,0.0958480577398024,0.021694889276954257
8,3,swish,0.0,True,0.01,0.07541276265927199,0.029163285681223974
8,3,swish,0.0,True,0.02,0.07554668915254956,0.023797504980445416
8,3,swish,0.1,True,0.01,0.08862605679165844,0.0263323425885401
8,3,swish,0.1,True,0.02,0.07386003524399284,0.014196923196657978
8,3,leakyrelu,0.0,True,0.01,0.08475963494836118,0.029210996598789906
8,3,leakyrelu,0.0,True,0.02,0.09593779610456636,0.03499938470400326
8,3,leakyrelu,0.1,True,0.01,0.10491204152095272,0.02308536484915779
8,3,leakyrelu,0.1,True,0.02,0.0851296089499535,0.024437763286012004
8,3,gelu,0.0,True,0.01,0.09815140047536138,0.024575548142973577
8,3,gelu,0.0,True,0.02,0.08001293735796218,0.034342780335489334
8,3,gelu,0.1,True,0.01,0.09609979025535667,0.01972365208635489
8,3,gelu,0.1,True,0.02,0.08849814800776544,0.02450400104447394
8,4,relu,0.0,True,0.01,0.09161412708168692,0.02165406050280505
8,4,relu,0.0,True,0.02,0.10853431115746197,0.02134613743350009
8,4,relu,0.1,True,0.01,0.09095987326940766,0.021993657227289826
8,4,relu,0.1,True,0.02,0.1042324189215462,0.019014330647346943
8,4,tanh,0.0,True,0.01,0.08585499036095136,0.022612512169911687
8,4,tanh,0.0,True,0.02,0.08686361053898291,0.02688334310629446
8,4,tanh,0.1,True,0.01,0.09912921063239212,0.024655621550274467
8,4,tanh,0.1,True,0.02,0.08827169127658754,0.023576245593625964
8,4,swish,0.0,True,0.01,0.07576974217640434,0.024763159757516768
8,4,swish,0.0,True,0.02,0.08254234304942523,0.023371685300915948
8,4,swish,0.1,True,0.01,0.09076950479268472,0.02678766222859269
8,4,swish,0.1,True,0.02,0.08161498681186688,0.016873656412090533
8,4,leakyrelu,0.0,True,0.01,0.08420209074867349,0.014150673427620003
8,4,leakyrelu,0.0,True,0.02,0.09482657751707534,0.026251848400146462
8,4,leakyrelu,0.1,True,0.01,0.09494451358337708,0.02457850384926156
8,4,leakyrelu,0.1,True,0.02,0.08402262894324719,0.01714233192648424
8,4,gelu,0.0,True,0.01,0.09529274185737507,0.02594615078584966
8,4,gelu,0.0,True,0.02,0.07107814130116585,0.009475859213824815
8,4,gelu,0.1,True,0.01,0.09349078457216302,0.0297136740857666
8,4,gelu,0.1,True,0.02,0.10055047810545176,0.027086824151793226
12,2,relu,0.0,True,0.01,0.08108980962716528,0.02055264478222385
12,2,relu,0.0,True,0.02,0.07704047240768189,0.022796375794081662
12,2,relu,0.1,True,0.01,0.09938989898408328,0.02404411093306093
12,2,relu,0.1,True,0.02,0.08703415180158458,0.029101449788547368
12,2,tanh,0.0,True,0.01,0.09728452829471627,0.02523073841922536
12,2,tanh,0.0,True,0.02,0.08940973126827323,0.027986438600379245
12,2,tanh,0.1,True,0.01,0.10356073041489948,0.01674596938501681
12,2,tanh,0.1,True,0.02,0.09649044924011484,0.023774269220687046
12,2,swish,0.0,True,0.01,0.08389431177108111,0.024468308426983547
12,2,swish,0.0,True,0.02,0.06602981039057543,0.017188307794454676
12,2,swish,0.1,True,0.01,0.08577443131637405,0.02494531581056565
12,2,swish,0.1,True,0.02,0.08209177465745776,0.022539313178196515
12,2,leakyrelu,0.0,True,0.01,0.08474130909845998,0.02780643974786961
12,2,leakyrelu,0.0,True,0.02,0.0925781007997406,0.03256327151134252
12,2,leakyrelu,0.1,True,0.01,0.08905580809481077,0.01777238449426535
12,2,leakyrelu,0.1,True,0.02,0.08892454175079664,0.02211570094171784
12,2,gelu,0.0,True,0.01,0.08034449805154982,0.02223413273011536
12,2,gelu,0.0,True,0.02,0.0735247592870748,0.012407586136245806
12,2,gelu,0.1,True,0.01,0.08443899656977598,0.024119792301767487
12,2,gelu,0.1,True,0.02,0.08448857344718194,0.02066747337446053
12,3,relu,0.0,True,0.01,0.08738239166058262,0.02410019967222188
12,3,relu,0.0,True,0.02,0.08109359850282685,0.020562635492296862
12,3,relu,0.1,True,0.01,0.08846762433306808,0.0228135751224907
12,3,relu,0.1,True,0.02,0.09199696772166736,0.02065388017453241
12,3,tanh,0.0,True,0.01,0.07903485946425963,0.01766120783911276
12,3,tanh,0.0,True,0.02,0.08654052301824812,0.030239766817451493
12,3,tanh,0.1,True,0.01,0.09658929460597362,0.022712286660763747
12,3,tanh,0.1,True,0.02,0.09059628274663492,0.02415040815355992
12,3,swish,0.0,True,0.01,0.08578338222613348,0.030869378867703468
12,3,swish,0.0,True,0.02,0.06415563178026924,0.013925639481508434
12,3,swish,0.1,True,0.01,0.09393687218859108,0.020344645042488032
12,3,swish,0.1,True,0.02,0.06945898388057739,0.019591760176279484
12,3,leakyrelu,0.0,True,0.01,0.07448131094399288,0.026087825765397945
12,3,leakyrelu,0.0,True,0.02,0.08508779586516496,0.03183233971114991
12,3,leakyrelu,0.1,True,0.01,0.10086672738118677,0.028454936144473107
12,3,leakyrelu,0.1,True,0.02,0.10135206550461937,0.031049424904253387
12,3,gelu,0.0,True,0.01,0.08625061437641733,0.027876447237880228
12,3,gelu,0.0,True,0.02,0.07368680113635966,0.012009735549533074
12,3,gelu,0.1,True,0.01,0.08804721061344925,0.02628474880001976
12,3,gelu,0.1,True,0.02,0.08591096342222572,0.023277602615645696
12,4,relu,0.0,True,0.01,0.0878962807067108,0.026818812782583967
12,4,relu,0.0,True,0.02,0.08321534360823155,0.033174777857595636
12,4,relu,0.1,True,0.01,0.1070566654584,0.028620516018764225
