Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,lambda_q025,lambda_q16,lambda_med,lambda_q84,lambda_q975,beta_q025,beta_q16,beta_med,beta_q84,beta_q975,n_q025,n_q16,n_med,n_q84,n_q975,tau_q025,tau_q16,tau_med,tau_q84,tau_q975
S3_tau_fixed_1_n1,F1,10,0.0,420.0,0.6424861111111112,0.01084149926331241,0.0007203332969451128,0.0008488062634766445,0.0011170930551958587,0.001567733487528058,0.0022149751723170162,0.23469907051403205,1.3817743108279028,3.4384169604650214,6.03800094891163,8.646267206488861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F10,10,0.0,420.0,0.6470694444444445,0.010404697697060166,0.0007577522802869486,0.000913884943942819,0.0012135695709396292,0.0017247355597791126,0.00244388377062528,0.3753099261186023,1.717611345483177,3.7933468636793046,6.383913218559824,8.91564823007748,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F11,10,0.0,420.0,0.7167152777777778,0.0462970629452479,0.010697588188950023,0.01273745775418488,0.01541638548409292,0.018811794894971208,0.02293985661300052,3.02273441569567,3.3562066274660514,3.72820805502249,4.124075668505842,4.530781350745751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F12,10,0.0,420.0,0.6560486111111111,0.011330512646247229,0.0009879094190721758,0.0011876248776154822,0.001504987663309849,0.001990420407882252,0.0027204685374633,0.3814236210411992,1.4214021426195256,2.730845523754616,4.2934261749394915,6.120692793469633,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F13,10,0.0,420.0,0.6483541666666667,0.009358137779702463,0.0005639231852408918,0.0006928076291046141,0.0009496186124712076,0.0012980296406478427,0.0016475369276836426,0.4684950006453491,2.2552080721535277,5.300002671165384,8.266393961600926,9.687636749994052,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F14,10,0.0,420.0,0.6808055555555557,0.018983545370327693,0.0022848745441398726,0.0023790566732936136,0.002509497930899317,0.0026627673474261394,0.0028251737513979845,0.020457219623824033,0.08197622283010195,0.16943328049114814,0.27131205609091047,0.3761756334833369,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F15,10,0.0,420.0,0.7134930555555555,0.02717940196091662,0.0031439609232418496,0.0033933214076396715,0.0036944245678374394,0.0040346980305327905,0.004436017929148117,0.5117517970662598,0.643679002158342,0.7892727692859324,0.9482913770598713,1.1179826982410834,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F16,10,0.0,420.0,0.6903194444444445,0.0073037474506786335,0.00208067185709539,0.002230192446754964,0.0024073925037632928,0.0026185133830778284,0.002843718136225879,0.11140552187774286,0.2568999319646868,0.4168231810643225,0.5960948723757042,0.7794357357680137,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F17,10,0.0,420.0,0.7042361111111112,0.003624646317529177,0.0024269329394834374,0.002590161473033766,0.002780564593393187,0.0029921059513500323,0.003230735395948257,0.16262956068093085,0.27546877153097116,0.4001473653117504,0.5367372429745041,0.6821693495263591,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F18,10,0.0,420.0,0.6884652777777779,0.01756792214416392,0.0017468322955473156,0.0017965975634012298,0.0018584366260472219,0.001943078451723524,0.0020633218980711907,0.0038663386790320064,0.02038518263547607,0.0775483645740346,0.18588203584657723,0.33395723440231695,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F19,10,0.0,420.0,0.675048611111111,0.009419136888780037,0.002131828766553669,0.0022150273013564242,0.002343714040583339,0.002505294881701844,0.002684284602929503,0.017361907912225708,0.0776633557048545,0.18016054279504248,0.30730705474880937,0.4458467159002446,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F2,10,0.0,420.0,0.6609513888888888,0.009804588195226758,0.001004335228641037,0.001138517439732882,0.0013726017668104036,0.0017243391277250888,0.002219926399975032,0.23917753380166287,0.839708178838896,1.8130905723438446,3.0251471105607615,4.40057867375864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F20,10,0.0,420.0,0.7041875000000001,0.01301884350721728,0.0034309165262407376,0.0036751779494224902,0.003941476765127271,0.004217619521194632,0.00450871449051851,0.21329880790405248,0.3215029331164269,0.4345727605273919,0.5365195120129539,0.6333612462444549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F21,10,0.0,420.0,0.6696319444444446,0.024064171970902607,0.0019259030828338586,0.0020164486689389677,0.0021558927992429804,0.0023328123104507286,0.002540865146872391,0.024597018662283192,0.10978035775297226,0.2585301239898189,0.4381455614778616,0.6357157773721632,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F22,10,0.0,420.0,0.7149027777777777,0.043567173163715375,0.005435912686034248,0.005946121756367672,0.0065529419666251875,0.007242740342759411,0.008013203057574452,0.8477361716148425,0.9688441847434529,1.1040922652972487,1.2486844153133208,1.393932811188665,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F23,10,0.0,420.0,0.6939513888888889,0.005785617696222675,0.002144840220503998,0.0022958510662346577,0.0024770314724665435,0.0026846751834888253,0.002915113725784566,0.11042781851653206,0.24798459278169818,0.4027042203313468,0.5695115635750363,0.7472689078400201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F24,10,0.0,420.0,0.6708541666666666,0.007605973208986319,0.0019443935292969069,0.0020275861942315627,0.0021553722770366237,0.0023192301490534027,0.002502223214652611,0.018341433623442115,0.08989320302080682,0.21864130581442204,0.3789810800587503,0.5492315192950554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F25,10,0.0,420.0,0.6221875,0.013618099426966181,2.500672428181754,15.036620118343162,48.54654814076189,83.28851990283684,97.32326534520446,0.44028486267185135,2.2127820650079495,3.0802008449335316,3.5515637621643474,3.8970288179034687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S3_tau_fixed_1_n1,F26,10,0.0,420.0,0.6107569444444444,0.014889756480435468,2.775053246060705,16.001437047152823,49.97871216913874,84.20575751644475,97.46069293275028,0.2537421467974515,1.62845768651922,2.845549207478597,3.3789428370450776,3.7575917227556683,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
