Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,lambda_q025,lambda_q16,lambda_med,lambda_q84,lambda_q975,n_q025,n_q16,n_med,n_q84,n_q975,tau_q025,tau_q16,tau_med,tau_q84,tau_q975,beta_q025,beta_q16,beta_med,beta_q84,beta_q975
S4_lambda_only_tau1_beta1_n1,F1,10,0.0,420.0,0.8075208333333334,0.007983572323480419,0.000707554175109728,0.0007610479628164117,0.0008157990487569053,0.0008719462017358815,0.0009282714131028098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F10,10,0.0,420.0,0.8076180555555555,0.00918633447736694,0.0007297300336922347,0.0007831005932899121,0.0008381510810619801,0.0008958644890153185,0.0009540607195658387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F11,10,0.0,420.0,0.8084722222222224,0.09477005075372809,0.0034809867591370463,0.0036094492969633548,0.0037452263740877546,0.003881751889307917,0.004020900459342684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F12,10,0.0,420.0,0.8072499999999999,0.012024830348960932,0.0009939499147807486,0.0010523556955047701,0.001113732132005352,0.0011751770923839008,0.001236429225219578,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F13,10,0.0,420.0,0.8042708333333333,0.006647260551983528,0.0005163262297564242,0.0005670681755633168,0.0006200483482013193,0.0006737877612911211,0.0007254119637313734,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F14,10,0.0,420.0,0.8088125,0.0651711121926941,0.003505517159952581,0.0036236812554867547,0.0037451624314282428,0.003868876989767985,0.0039989271072118845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F15,10,0.0,420.0,0.807,0.030721374527036067,0.0038538451917646305,0.003984189879411204,0.004123355720360098,0.004267767193140188,0.00441681136760773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F16,10,0.0,420.0,0.8069097222222222,0.03129414345727964,0.0028707942604328557,0.0029693090107112802,0.00307507968118346,0.003183736652140152,0.0032901556978778006,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F17,10,0.0,420.0,0.806861111111111,0.03887653153859614,0.0034737678772163764,0.003588484868552448,0.0037129432733372823,0.003841494173190072,0.003970869086120816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F18,10,0.0,420.0,0.8059791666666666,0.05354636989422566,0.002387914946146994,0.0024743165756444946,0.0025644119502731756,0.002658980801755061,0.002753823772747755,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S4_lambda_only_tau1_beta1_n1,F19,10,0.0,420.0,0.807236111111111,0.0529961438859986,0.0031728522556177786,0.0032783995889674967,0.003390061591097825,0.0035075722569576384,0.003623571628369727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
