Scenario,BatchID,n_points,t_min,t_max,accept_frac,rmse_med_curve,success,tau_prior_mode,t_peak,t_peak_repr,mu_tau_prior,sig_tau_prior,flat_ratio,tau_fixed,lambda_med,lambda_q025,lambda_q975,lambda_q16,lambda_q84,tau_med,tau_q025,tau_q975,tau_q16,tau_q84,beta_med,beta_q025,beta_q975,beta_q16,beta_q84
S3_tau_fixed_1,F1,10,0.0,420.0,0.6516180555555556,0.011135247821688307,True,,,,,,,1.0,0.0011310407157794512,0.0007277537251785468,0.0022265364857894866,0.0008622914637967259,0.0015912561336662418,1.0,1.0,1.0,1.0,1.0,3.545235371166989,0.35158077688318945,8.720858789459957,1.5256282191497534,6.138641318001674
S3_tau_fixed_1,F10,10,0.0,420.0,0.6462430555555555,0.010584649941111746,True,,,,,,,1.0,0.0012250645224646342,0.0007574568876866167,0.0024354460120869954,0.0009129573575653627,0.0017504519527778415,1.0,1.0,1.0,1.0,1.0,3.860100191132192,0.383441266138752,8.964168070868023,1.7080079794858651,6.471820664223049
S3_tau_fixed_1,F11,10,0.0,420.0,0.7153333333333333,0.04630497456118071,True,,,,,,,1.0,0.0154488141910968,0.010757225146537663,0.023234126993483782,0.012792796270782001,0.018873303888680814,1.0,1.0,1.0,1.0,1.0,3.7349776469317515,3.0358987431483184,4.549787325745942,3.370922842675028,4.131943077636886
S3_tau_fixed_1,F12,10,0.0,420.0,0.6603680555555554,0.011183397512476692,True,,,,,,,1.0,0.0014957232722692172,0.000992931708654839,0.002685348620200583,0.0011851902078168174,0.001969198483600483,1.0,1.0,1.0,1.0,1.0,2.6871215362775795,0.41946782351419104,6.043661694468589,1.4007386957570531,4.231007459684683
S3_tau_fixed_1,F13,10,0.0,420.0,0.6477638888888889,0.009098619880991893,True,,,,,,,1.0,0.0009313907434515281,0.0005620394945047596,0.0016344524886961955,0.0006839310532823473,0.0012733784714346974,1.0,1.0,1.0,1.0,1.0,5.148499872214892,0.4079387751850384,9.66571826060428,2.1460821026145975,8.148210862928046
S3_tau_fixed_1,F14,10,0.0,420.0,0.6847847222222221,0.019015340376974,True,,,,,,,1.0,0.0025137587828307,0.0022865515530438923,0.002828264377153941,0.002382763113517854,0.002662576611071053,1.0,1.0,1.0,1.0,1.0,0.17190032600988786,0.02227991087994607,0.3788192782477746,0.0840427189409067,0.2721225558894373
S3_tau_fixed_1,F15,10,0.0,420.0,0.7141944444444445,0.02719169062896037,True,,,,,,,1.0,0.003700302515259723,0.003146920192721902,0.004441081645446956,0.0033991466360319125,0.004047799959679339,1.0,1.0,1.0,1.0,1.0,0.7915355375478496,0.5126734740795231,1.1175370311267765,0.6426623894592388,0.9503192684727645
S3_tau_fixed_1,F16,10,0.0,420.0,0.692888888888889,0.007403478352931591,True,,,,,,,1.0,0.002413512952018176,0.0020904088212870104,0.0028588061736989417,0.0022338924375653662,0.0026264049377664376,1.0,1.0,1.0,1.0,1.0,0.42228839312109867,0.12455064159417875,0.7893523875220477,0.2601008508795546,0.6016470036243087
S3_tau_fixed_1,F17,10,0.0,420.0,0.7043194444444444,0.0036332726030224444,True,,,,,,,1.0,0.0027780182101512186,0.0024315916170562493,0.0032285434212797693,0.0025930970126822796,0.002993858248160223,1.0,1.0,1.0,1.0,1.0,0.40038993347017415,0.16307378889569643,0.677152127601789,0.27650495595999686,0.537291733637812
S3_tau_fixed_1,F18,10,0.0,420.0,0.6880763888888888,0.017705559106391967,True,,,,,,,1.0,0.0018612572612500089,0.0017474897084678812,0.0020707072344329546,0.0017990756031159732,0.0019480654963533362,1.0,1.0,1.0,1.0,1.0,0.08050991717655046,0.004399169025786571,0.33994562232077885,0.02292801120210955,0.1897742545592599
S3_tau_fixed_1,F19,10,0.0,420.0,0.6762569444444445,0.009564075472808837,True,,,,,,,1.0,0.002349395283178223,0.0021336911679187207,0.002681303709519939,0.0022213833904572047,0.0025067866442554064,1.0,1.0,1.0,1.0,1.0,0.18629011125044231,0.018659143128021197,0.44340620178519635,0.08192955922457608,0.30966760423925876
S3_tau_fixed_1,F2,10,0.0,420.0,0.6585347222222223,0.009710024126667192,True,,,,,,,1.0,0.0013643684688535332,0.0010021142891641808,0.0021736541006948467,0.0011339154830934525,0.001707728212147686,1.0,1.0,1.0,1.0,1.0,1.7932238137124812,0.22662838490119694,4.327274697152607,0.8179575867110062,2.97976534275101
S3_tau_fixed_1,F20,10,0.0,420.0,0.7039166666666666,0.013003231820020953,True,,,,,,,1.0,0.003934548540591382,0.0034345836372869274,0.004510023197237041,0.003674345591058144,0.004215324125221766,1.0,1.0,1.0,1.0,1.0,0.4339417598409524,0.21707009872067295,0.6324464171465566,0.3240622841677649,0.5350893302966027
S3_tau_fixed_1,F21,10,0.0,420.0,0.6648819444444444,0.024021861576725218,True,,,,,,,1.0,0.00215116183627641,0.001921887939877488,0.002544261637183624,0.002010051526980568,0.0023337139710704717,1.0,1.0,1.0,1.0,1.0,0.2527466941558857,0.024840977608523895,0.6329566261322397,0.1045234521412011,0.4375095249414896
S3_tau_fixed_1,F22,10,0.0,420.0,0.7151180555555555,0.0435706192303484,True,,,,,,,1.0,0.0065569568010178225,0.005453461590180003,0.0080502300363418,0.005960983289164967,0.007254612542113345,1.0,1.0,1.0,1.0,1.0,1.1055729176392248,0.8490679088772133,1.3998324962908624,0.971825038804327,1.2486375830548266
S3_tau_fixed_1,F23,10,0.0,420.0,0.6913958333333333,0.005764995207077191,True,,,,,,,1.0,0.002477771148021942,0.0021395494480616617,0.0029150730108366122,0.0022911877516375357,0.0026863864991353427,1.0,1.0,1.0,1.0,1.0,0.4016124699769214,0.10747816441583984,0.7441716076738394,0.24680667699364264,0.5720332418771968
S3_tau_fixed_1,F24,10,0.0,420.0,0.6718402777777778,0.007608231304151283,True,,,,,,,1.0,0.002154939691200469,0.001945687280327403,0.0025068294279193314,0.0020291728096384753,0.002318084962212065,1.0,1.0,1.0,1.0,1.0,0.21873338913505752,0.02118652468183477,0.5526122191188587,0.09176975285673931,0.377283036480152
S3_tau_fixed_1,F25,10,0.0,420.0,0.6256111111111111,0.01340319467671173,True,,,,,,,1.0,49.01470984198143,2.493958465359764,97.45783312393647,15.151021680517688,83.67351423186689,1.0,1.0,1.0,1.0,1.0,3.1004305224783444,0.499175251851153,3.8896919882533543,2.310585985505044,3.5542411209150586
S3_tau_fixed_1,F26,10,0.0,420.0,0.605,0.014751799150624585,True,,,,,,,1.0,48.62253344801714,2.3997082173552653,97.3771944848932,14.711724992338414,83.50259183826377,1.0,1.0,1.0,1.0,1.0,2.848284040930894,0.24291238142405705,3.7465406119801274,1.5364868955401085,3.3825989638704206
S3_tau_fixed_1,F27,10,0.0,420.0,0.7125625000000001,0.021025726703101093,True,,,,,,,1.0,0.004663825199566563,0.00406309235425779,0.005408385764325249,0.004345602572473102,0.005014472889864725,1.0,1.0,1.0,1.0,1.0,0.5779629649563538,0.3754057706678472,0.7812474962920013,0.47901850327944084,0.6788656305302706
S3_tau_fixed_1,F28,10,0.0,420.0,0.6950208333333334,0.014800042633674964,True,,,,,,,1.0,0.003556741517220875,0.0031373609095953544,0.004061435437575152,0.003331625086509166,0.0038012888327848848,1.0,1.0,1.0,1.0,1.0,0.31756214717861675,0.11115146959361516,0.5189735923100823,0.21424135126861768,0.4207670239738394
S3_tau_fixed_1,F29,10,0.0,420.0,0.6567083333333333,0.010720497473237842,True,,,,,,,1.0,0.0013775601510800997,0.0011971010625192507,0.0018122021250519009,0.001265854718568651,0.0015619088409626106,1.0,1.0,1.0,1.0,1.0,0.48908132957811834,0.026160343957821144,1.6322252060130609,0.15681744048680774,1.006248667624396
S3_tau_fixed_1,F3,10,0.0,420.0,0.6500277777777778,0.01118945764881441,True,,,,,,,1.0,0.0011779986918616678,0.0007265380008505429,0.0023181969054501357,0.0008753803095289368,0.0016806121357304253,1.0,1.0,1.0,1.0,1.0,4.0286023679522724,0.42694868606268466,9.104216049230269,1.7950744385545039,6.815819118332053
S3_tau_fixed_1,F30,10,0.0,420.0,0.6770069444444444,0.014188778306004833,True,,,,,,,1.0,0.0014123024031290007,0.0012855782603116664,0.001687983970843912,0.0013393441726081007,0.0015252880019705876,1.0,1.0,1.0,1.0,1.0,0.21899630910319,0.009411342767009319,0.8947879046854363,0.060058008162253144,0.5041896554697279
S3_tau_fixed_1,F31,10,0.0,420.0,0.6566319444444444,0.010758401462302787,True,,,,,,,1.0,0.0012600195481380025,0.0010809828061037025,0.001708583705828128,0.001149422044858398,0.0014398704515492069,1.0,1.0,1.0,1.0,1.0,0.5970644083790346,0.02999964664973732,2.0142224436779133,0.18395407178244325,1.2153436874309733
S3_tau_fixed_1,F32,10,0.0,420.0,0.6511180555555555,0.010840588968373253,True,,,,,,,1.0,0.0013562529775097646,0.0010911398891297551,0.0019508415869643172,0.0011851601439590894,0.0016089292432673536,1.0,1.0,1.0,1.0,1.0,1.0038280079348465,0.06603303028196464,2.7113454992991763,0.38086670351400836,1.7993014157473484
S3_tau_fixed_1,F33,10,0.0,420.0,0.6569097222222222,0.008995576035202006,True,,,,,,,1.0,0.0015397731875487278,0.001324028026151827,0.0019856363854323807,0.001405317435435919,0.001736046178512879,1.0,1.0,1.0,1.0,1.0,0.5095852224469442,0.03011532992043443,1.4576180090147242,0.18173985911115445,0.9507591143770133
S3_tau_fixed_1,F34,10,0.0,420.0,0.7099930555555556,0.03141310178205859,True,,,,,,,1.0,0.0032814167626400463,0.0027015730412286807,0.004113577028848116,0.0029624951762289987,0.0036664360924622994,1.0,1.0,1.0,1.0,1.0,0.9607750988858057,0.5664840891767938,1.4460082993186607,0.7498870410784976,1.1941738086985285
