hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,gamma,mean_rmse,std_rmse,median_best_epoch,optimizer,seed,diluent_encoding,prior_mode,tau_fixed_value,forward_method,t0_as_initial_condition,sigma_main,t0_atol,reg_csv
34,2,mish,0.2,True,0.002225144604874549,0.3254391115088485,0.06374427825212478,0.015305320626645497,148,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
13,2,gelu,0.2,True,0.0013947217197967314,0.00014329107238467855,0.0786773607134819,0.0226869523556122,107,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
21,5,leakyrelu,0.0,True,0.04786800508662938,0.09832469717408683,0.04714298844337463,0.006484575114020032,72,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
26,5,swish,0.0,True,0.006841763417310985,0.00016347456126376784,0.0376021608710289,0.00669867466794989,220,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
42,4,leakyrelu,0.1,True,0.04025669865557973,0.022193212012672315,0.0651690974831581,0.015242315951990666,37,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
59,4,leakyrelu,0.1,True,0.018872466815295308,0.002486528079375972,0.05167118534445762,0.015329058819402941,155,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
26,4,gelu,0.0,True,0.034262157563211694,0.01971142158600765,0.041640818119049065,0.0031235448648616023,70,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
12,5,leakyrelu,0.2,True,0.001962462443485989,0.00035362503098265485,0.06740238964557647,0.01165526658275386,292,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
61,4,swish,0.2,True,0.02891756281961285,0.014299612122349632,0.0578500933945179,0.006693569176133691,37,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
41,2,swish,0.1,True,0.029317822313485037,0.0973837672309103,0.049307345598936084,0.005260304800163256,142,adamw,1,continuous,tau_fixed,1.0,closed_form,True,0.03,1e-12,./souza_bayes_four_scenarios_modular_n/S3_tau_fixed_1_n1/souza_bayes_params_S3_tau_fixed_1_n1.csv
