loss_mode,diluent_encoding,hidden_size,n_hidden_layers,activation,dropout,standardize_cont,lr,mean_rmse,std_rmse,optimizer,use_scheduler,rel_eps
absolute,onehot,24,3,mish,0.1,True,0.0310381040513303,0.0558391674450785,0.0157304355983116,adam,True,
absolute,onehot,16,3,leakyrelu,0.1,True,0.0011650723760806,0.0891729355861866,0.0210979445137842,adam,True,
absolute,onehot,19,3,relu,0.2,True,0.0186685679585991,0.0744709076832227,0.0317207368674281,adam,True,
absolute,onehot,21,3,relu,0.2,True,0.0012321437076471,0.0918715594504141,0.0237936560580086,adam,True,
absolute,onehot,28,5,swish,0.2,True,0.0099206338199282,0.0639280592044752,0.0246948156780162,adam,True,
absolute,onehot,34,5,swish,0.0,True,0.0039153250012812,0.0642728933736595,0.025830447727062,adam,True,
absolute,onehot,21,5,leakyrelu,0.2,True,0.0094333128972001,0.0703595026332689,0.0224884254013358,adam,True,
absolute,onehot,16,3,mish,0.1,True,0.0017099740712959,0.0774033250484538,0.0214650078300066,adam,True,
absolute,onehot,35,5,tanh,0.2,True,0.0082310988199492,0.0669493751413296,0.0170950494597563,adam,True,
absolute,onehot,27,3,tanh,0.2,True,0.0185924773291711,0.0694665736602424,0.0196461969003856,adam,True,
absolute,onehot,31,4,mish,0.1,True,0.0401893388605958,0.0646098180629973,0.0173073135720155,adam,True,
absolute,onehot,26,4,swish,0.0,True,0.044560184642893,0.0611824042039833,0.0234472759748441,adam,True,
absolute,onehot,24,4,gelu,0.0,True,0.0374932536144459,0.0664461791801047,0.0258307321820809,adam,True,
absolute,onehot,24,4,mish,0.0,True,0.022320001630141,0.0616385124649735,0.0334375405981365,adam,True,
absolute,onehot,30,4,swish,0.0,True,0.0442310387760854,0.0624044404500187,0.0193226710039814,adam,True,
absolute,onehot,24,4,gelu,0.1,True,0.024842158612926,0.0655396580470864,0.0279311228872494,adam,True,
absolute,onehot,26,3,mish,0.0,True,0.00435330167959,0.0706237677554371,0.0283092654455057,adam,True,
absolute,onehot,31,4,swish,0.1,True,0.0132108196377412,0.0641519252388474,0.0225906547245653,adam,True,
absolute,onehot,21,3,swish,0.1,True,0.0280908246127993,0.0634800637378937,0.0222372874684728,adam,True,
absolute,onehot,29,4,mish,0.0,True,0.0490019236461468,0.0556366530729361,0.0131181661506334,adam,True,
absolute,onehot,33,4,mish,0.1,True,0.0050146051704766,0.0597305000134294,0.0137212896519267,adam,True,
absolute,onehot,33,4,mish,0.1,True,0.0040447384994727,0.0697687906282288,0.0306827500634212,adam,True,
absolute,onehot,29,4,mish,0.1,True,0.0056004565746052,0.069148103641539,0.0285970781837804,adam,True,
absolute,onehot,32,4,mish,0.1,True,0.0027532506672595,0.0757894072626295,0.0308331848084971,adam,True,
absolute,onehot,29,4,mish,0.1,True,0.0151147180026083,0.0637003471180653,0.0234948887537876,adam,True,
absolute,onehot,35,3,mish,0.0,True,0.030870728053006,0.0629088149571972,0.0261633199937638,adam,True,
absolute,onehot,33,4,mish,0.1,True,0.0024908040649178,0.0697474554500771,0.0218335141794308,adam,True,
absolute,onehot,36,4,mish,0.0,True,0.0125300020696727,0.0662715441724047,0.0330388669932506,adam,True,
absolute,onehot,23,5,tanh,0.1,True,0.0053413289045992,0.0677088472889737,0.0181459226850591,adam,True,
absolute,onehot,27,3,leakyrelu,0.1,True,0.0490092515023012,0.0613954627456096,0.0173733844870247,adam,True,
absolute,onehot,30,3,relu,0.0,True,0.0027894804629327,0.0813817303782966,0.0340135281639622,adam,True,
absolute,onehot,27,4,gelu,0.0,True,0.034092817348289,0.0636860934103342,0.0210773612923268,adam,True,
absolute,onehot,25,4,leakyrelu,0.0,True,0.020696824758777,0.0740649194755414,0.0353252597533331,adam,True,
