BatchID,n_points,t_min,t_max,lambda,tau,n,beta,rmse,success,nfev,message
F1,10,0.0,420.0,0.0008342746902094213,1.0000002616796442e-06,0.02000000000000001,1.3394298895156493,0.00657186445043748,True,153,`gtol` termination condition is satisfied.
F10,10,0.0,420.0,0.0009195977170789072,1.0000001073870087e-06,0.020000000000000153,1.8485097148028538,0.006574660110601644,True,39,`gtol` termination condition is satisfied.
F11,10,0.0,420.0,0.012498797106767705,1.0002702128921012e-06,0.02000000000000001,3.422446233854955,0.04337899345708662,True,89,`ftol` termination condition is satisfied.
F12,10,0.0,420.0,0.0012339801903908981,1.0000000000044733e-06,0.020000000000056962,1.708321672026677,0.008416055541453851,True,24,`gtol` termination condition is satisfied.
F13,10,0.0,420.0,0.0006658126606173308,1.0000001147368936e-06,0.02000000000000025,1.9171494579304935,0.004956915726530118,True,158,`gtol` termination condition is satisfied.
F14,10,0.0,420.0,999.999976966663,1673593.3052263705,0.3469732834080349,0.6160730608857385,0.0062350624367271705,True,56,`ftol` termination condition is satisfied.
F15,10,0.0,420.0,0.0033993133290569034,1.000000000016668e-06,0.02000000000045815,0.6828654684920411,0.02377439997410161,True,23,`gtol` termination condition is satisfied.
F16,10,0.0,420.0,537.298484404879,345063.2463165785,0.10173999249837629,0.5602441261045877,0.0056561171841311925,True,30,`ftol` termination condition is satisfied.
F17,10,0.0,420.0,0.002946936957088698,0.32247715512840014,0.2669081150814413,0.3765662645215551,0.0026068126489812143,True,101,`ftol` termination condition is satisfied.
F18,10,0.0,420.0,320.9516442043607,451784.95557951304,0.20367235628712504,0.19701837890577142,0.004187909603861232,True,104,`gtol` termination condition is satisfied.
F19,10,0.0,420.0,577.1530586128208,534238.2407072351,0.1851077398540128,0.4366668212687302,0.003412887806755374,True,35,`gtol` termination condition is satisfied.
F2,10,0.0,420.0,0.001155690099785875,1.000000003352343e-06,0.020000008452345945,0.9897331481579125,0.006604732463217135,True,30,`gtol` termination condition is satisfied.
F20,10,0.0,420.0,999.9998492261955,502082.0493431198,0.17449593175284908,0.6343910860329964,0.008376105516781434,True,45,`ftol` termination condition is satisfied.
F21,10,0.0,420.0,0.001974577533545575,1.0000003786411267e-06,0.02000000223087159,0.104778856516757,0.02292313530763885,True,21,`gtol` termination condition is satisfied.
F22,10,0.0,420.0,0.0056980012604146875,1.000001110595302e-06,0.020000000000087788,0.9585125389961474,0.03920261134757764,True,25,`ftol` termination condition is satisfied.
F23,10,0.0,420.0,999.9999503078573,510645.75746109127,0.04739678356415439,0.42057758312911336,0.004642523332548314,True,60,`ftol` termination condition is satisfied.
F24,10,0.0,420.0,999.9999864073742,892219.9331877807,0.15374017228744075,0.44505794380970537,0.0033041490322916417,True,56,`ftol` termination condition is satisfied.
F25,10,0.0,420.0,0.22471814890454694,6.042437149014649,0.935239030846549,2.2953826194441276e-06,0.025939988434847065,True,1,`gtol` termination condition is satisfied.
F26,10,0.0,420.0,0.08535093707678831,0.004268662651843284,2.8803489970830234,0.3455878401096012,0.0076251557361144955,True,6,`gtol` termination condition is satisfied.
F27,10,0.0,420.0,0.004375497114049695,1.0000000079881741e-06,0.02000000000000001,0.5258619551634026,0.016938396360187066,True,151,`gtol` termination condition is satisfied.
F28,10,0.0,420.0,927.9398028101403,670241.6130449993,0.2420839548882674,0.6114113364600581,0.005774487819046038,True,56,`gtol` termination condition is satisfied.
F29,10,0.0,420.0,0.001202808868632464,1.0000000326031496e-06,0.0200000000000005,1.0000000571301179e-06,0.006699950080544653,True,29,`gtol` termination condition is satisfied.
F3,10,0.0,420.0,0.00087042978755152,1.0000000329729942e-06,0.02000000000000004,1.8136600852476998,0.007312163969792158,True,32,`gtol` termination condition is satisfied.
F30,10,0.0,420.0,999.3349010263255,1198896.793111764,0.09289974997806823,1.000012456012629e-06,0.006239052147453331,True,94,`gtol` termination condition is satisfied.
F31,10,0.0,420.0,0.0010893785949521134,1.0000028228050407e-06,0.02000000000000207,1.0000000000073173e-06,0.005864412864197867,True,26,`gtol` termination condition is satisfied.
F32,10,0.0,420.0,0.001177758768053231,1.0000000000001905e-06,0.02000000020814337,0.4182355431977801,0.007778298683774354,True,17,`gtol` termination condition is satisfied.
F33,10,0.0,420.0,0.0013740878260713007,1.0000000106921534e-06,0.02000000000000001,0.158194127509114,0.005401799397577042,True,33,`gtol` termination condition is satisfied.
F34,10,0.0,420.0,0.002957741257732756,1.0000000000032886e-06,0.02000000005344405,0.7921320926048071,0.028334874308867736,True,34,`gtol` termination condition is satisfied.
F35,10,0.0,420.0,0.0019617961586017125,1.000048623802733e-06,0.020000000003361624,0.32216719937152477,0.005196388177962745,True,23,`gtol` termination condition is satisfied.
F36,10,0.0,420.0,153.2090041775289,131950.7893496509,0.13853216919918876,0.5172462514953129,0.004057264174889032,True,78,`gtol` termination condition is satisfied.
F37,10,0.0,420.0,0.07051077535382927,1.000000179639845e-06,0.020001300328443126,2.760180017784374,0.027838063458696778,True,16,`ftol` termination condition is satisfied.
F38,10,0.0,420.0,0.0868589442185377,0.03215446673833829,1.5875390442946076,0.3968898505922775,0.02204890019932966,True,6,`gtol` termination condition is satisfied.
F39,10,0.0,420.0,0.0016279776716905863,1.000000021399944e-06,0.0200000006590056,0.5910528480477218,0.018534286374499824,True,24,`gtol` termination condition is satisfied.
F4,10,0.0,420.0,0.0017831622713193628,1.0000000877296216e-06,0.020000000000914106,0.44761082368030264,0.00326849744786715,True,28,`gtol` termination condition is satisfied.
